"","datetime","date","ra1","ra2","raw","ra","comment","chk_note","chk_fail","year"
"274","30/09/1972 08:55:00",1972-09-30,15.748,0,15.748,15.748,"","good","",1972
"275","1/10/72 8:55",1972-10-01,0,0,0,0,"","good","",1972
"276","2/10/72 8:55",1972-10-02,42.926,0,42.926,42.926,"","good","",1972
"277","3/10/72 8:55",1972-10-03,18.796,0,18.796,18.796,"","good","",1972
"278","4/10/72 8:55",1972-10-04,27.94,0,27.94,27.94,"","good","",1972
"279","5/10/72 8:55",1972-10-05,24.13,0,24.13,24.13,"","good","",1972
"280","6/10/72 8:55",1972-10-06,3.048,0,3.048,3.048,"","good","",1972
"281","7/10/72 8:55",1972-10-07,37.592,0,37.592,37.592,"","good","",1972
"282","8/10/72 8:55",1972-10-08,0,0,0,0,"","good","",1972
"283","9/10/72 8:55",1972-10-09,0.254,0,0.254,0.254,"","good","",1972
"284","10/10/72 8:55",1972-10-10,4.064,0,4.064,4.064,"","good","",1972
"285","11/10/72 8:55",1972-10-11,1.778,0,1.778,1.778,"","good","",1972
"286","12/10/72 8:55",1972-10-12,10.16,0,10.16,10.16,"","good","",1972
"287","13/10/1972 08:55:00",1972-10-13,12.192,0,12.192,12.192,"","good","",1972
"288","14/10/1972 08:55:00",1972-10-14,2.54,0,2.54,2.54,"","good","",1972
"289","15/10/1972 08:55:00",1972-10-15,0,0,0,0,"","good","",1972
"290","16/10/1972 08:55:00",1972-10-16,0.254,0,0.254,0.254,"","good","",1972
"291","17/10/1972 08:55:00",1972-10-17,0,0,0,0,"","good","",1972
"292","18/10/1972 08:55:00",1972-10-18,6.604,0,6.604,6.604,"","good","",1972
"293","19/10/1972 08:55:00",1972-10-19,9.906,0,9.906,9.906,"","good","",1972
"294","20/10/1972 08:55:00",1972-10-20,0,0,0,0,"","good","",1972
"295","21/10/1972 08:55:00",1972-10-21,1.524,0,1.524,1.524,"","good","",1972
"296","22/10/1972 08:55:00",1972-10-22,8.128,0,8.128,8.128,"","good","",1972
"297","23/10/1972 08:55:00",1972-10-23,18.542,0,18.542,18.542,"","good","",1972
"298","24/10/1972 08:55:00",1972-10-24,3.81,0,3.81,3.81,"","good","",1972
"299","25/10/1972 08:55:00",1972-10-25,3.302,0,3.302,3.302,"","good","",1972
"300","26/10/1972 08:55:00",1972-10-26,34.544,0,34.544,34.544,"","good","",1972
"301","27/10/1972 08:55:00",1972-10-27,0,0,0,0,"","good","",1972
"302","28/10/1972 08:55:00",1972-10-28,13.97,0,13.97,13.97,"","good","",1972
"303","29/10/1972 08:55:00",1972-10-29,43.688,0,43.688,43.688,"","good","",1972
"304","30/10/1972 08:55:00",1972-10-30,0.762,0,0.762,0.762,"","good","",1972
"305","31/10/1972 08:55:00",1972-10-31,17.272,0,17.272,17.272,"","good","",1972
"306","1/11/72 8:55",1972-11-01,4.318,0,4.318,4.318,"","good","",1972
"307","2/11/72 8:55",1972-11-02,3.81,0,3.81,3.81,"","good","",1972
"308","3/11/72 8:55",1972-11-03,24.892,0,24.892,24.892,"","good","",1972
"309","4/11/72 8:55",1972-11-04,9.144,0,9.144,9.144,"","good","",1972
"310","5/11/72 8:55",1972-11-05,0.254,0,0.254,0.254,"","good","",1972
"311","6/11/72 8:55",1972-11-06,14.478,0,14.478,14.478,"","good","",1972
"312","7/11/72 8:55",1972-11-07,0.254,0,0.254,0.254,"","good","",1972
"313","8/11/72 8:55",1972-11-08,0.508,0,0.508,0.508,"","good","",1972
"314","9/11/72 8:55",1972-11-09,0.254,0,0.254,0.254,"","good","",1972
"315","10/11/72 8:55",1972-11-10,0.254,0,0.254,0.254,"","good","",1972
"316","11/11/72 8:55",1972-11-11,5.334,0,5.334,5.334,"","good","",1972
"317","12/11/72 8:55",1972-11-12,16.256,0,16.256,16.256,"","good","",1972
"318","13/11/1972 08:55:00",1972-11-13,16.002,0,16.002,16.002,"","good","",1972
"319","14/11/1972 08:55:00",1972-11-14,28.956,0,28.956,28.956,"","good","",1972
"320","15/11/1972 08:55:00",1972-11-15,3.556,0,3.556,3.556,"","good","",1972
"321","16/11/1972 08:55:00",1972-11-16,0.254,0,0.254,0.254,"","good","",1972
"322","17/11/1972 08:55:00",1972-11-17,0,0,0,0,"","good","",1972
"323","18/11/1972 08:55:00",1972-11-18,0,0,0,0,"","good","",1972
"324","19/11/1972 08:55:00",1972-11-19,3.302,0,3.302,3.302,"","good","",1972
"325","20/11/1972 08:55:00",1972-11-20,0,0,0,0,"","good","",1972
"326","21/11/1972 08:55:00",1972-11-21,1.016,0,1.016,1.016,"","good","",1972
"327","22/11/1972 08:55:00",1972-11-22,0,0,0,0,"","good","",1972
"328","23/11/1972 08:55:00",1972-11-23,0,0,0,0,"","good","",1972
"329","24/11/1972 08:55:00",1972-11-24,33.528,0,33.528,33.528,"","good","",1972
"330","25/11/1972 08:55:00",1972-11-25,0,0,0,0,"","good","",1972
"331","26/11/1972 08:55:00",1972-11-26,1.27,0,1.27,1.27,"","good","",1972
